Stage,Reproduced,DeathDay,Survived
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,0,11,1
adultcapsule,1,11,1
adultcapsule,1,11,1
adultcapsule,1,11,1
adultcapsule,1,11,1
adultcapsule,1,11,1
adultcapsule,1,11,1
adultcapsule,1,11,1
adultcapsule,1,11,1
adultcapsule,1,11,1
adultcapsule,1,11,1
adultcapsule,1,11,1
adultcapsule,1,11,1
adultcapsule,1,11,1
adultcapsule,1,11,1
adultcapsule,1,11,1
adultcapsule,1,11,1
adultcapsule,1,11,1
adultcapsule,1,11,1
adultcapsule,1,11,1
adultcapsule,1,11,1
larvaecapsule,,1,0
larvaecapsule,,1,0
larvaecapsule,,1,0
larvaecapsule,,1,0
larvaecapsule,,1,0
larvaecapsule,,1,0
larvaecapsule,,1,0
larvaecapsule,,1,0
larvaecapsule,,2,0
larvaecapsule,,2,0
larvaecapsule,,2,0
larvaecapsule,,2,0
larvaecapsule,,2,0
larvaecapsule,,4,0
larvaecapsule,,4,0
larvaecapsule,,4,0
larvaecapsule,,4,0
larvaecapsule,,4,0
larvaecapsule,,4,0
larvaecapsule,,4,0
larvaecapsule,,4,0
larvaecapsule,,4,0
larvaecapsule,,5,0
larvaecapsule,,5,0
larvaecapsule,,5,0
larvaecapsule,,5,0
larvaecapsule,,6,0
larvaecapsule,,6,0
larvaecapsule,,7,0
larvaecapsule,,8,0
larvaecapsule,0,11,1
larvaecapsule,0,11,1
larvaecapsule,0,11,1
larvaecapsule,0,11,1
larvaecapsule,0,11,1
larvaecapsule,0,11,1
larvaecapsule,0,11,1
larvaecapsule,0,11,1
larvaecapsule,0,11,1
larvaecapsule,0,11,1
larvaecapsule,0,11,1
larvaecapsule,0,11,1
larvaecapsule,0,11,1
larvaecapsule,0,11,1
larvaecapsule,0,11,1
larvaecapsule,0,11,1
larvaecapsule,0,11,1
larvaecapsule,0,11,1
larvaecapsule,0,11,1
larvaecapsule,0,11,1
larvaecapsule,0,11,1
larvaecapsule,0,11,1
larvaecapsule,0,11,1
larvaecapsule,0,11,1
larvaecapsule,0,11,1
larvaecapsule,0,11,1
larvaecapsule,0,11,1
larvaecapsule,0,11,1
larvaecapsule,0,11,1
larvaecapsule,0,11,1
larvaecapsule,0,11,1
larvaecapsule,0,11,1
larvaecapsule,0,11,1
