Temperature,Reproduced,DeathDay,Survived
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,0,11,1
thirtyfourpointfive,1,11,1
thirtyfourpointfive,1,11,1
thirtyfourpointfive,1,11,1
thirtyfourpointfive,1,11,1
thirtyfourpointfive,1,11,1
thirtyfourpointfive,1,11,1
thirtyfourpointfive,1,11,1
thirtyfourpointfive,1,11,1
thirtyfourpointfive,1,11,1
thirtyfourpointfive,1,11,1
thirtyfourpointfive,1,11,1
thirtyfourpointfive,1,11,1
thirtyfourpointfive,1,11,1
thirtyfourpointfive,1,11,1
thirtyfourpointfive,1,11,1
thirtyfourpointfive,1,11,1
thirtyfourpointfive,1,11,1
thirtyfourpointfive,1,11,1
thirtyfourpointfive,1,11,1
thirtyfourpointfive,1,11,1
thirtyfourpointfive,1,11,1
thirtyfourpointfive,1,11,1
thirtyfourpointfive,1,11,1
thirtyfourpointfive,1,11,1
thirtyfourpointfive,1,11,1
thirtyfourpointfive,1,11,1
