Source,Reproduced,DeathDay,Survived,Emerged
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,0,11,1,1
four,1,11,1,1
four,1,11,1,1
four,1,11,1,1
four,1,11,1,1
four,1,11,1,1
four,1,11,1,1
four,1,11,1,1
four,1,11,1,1
four,1,11,1,1
four,1,11,1,1
four,1,11,1,1
four,1,11,1,1
four,1,11,1,1
four,1,11,1,1
four,1,11,1,1
four,1,11,1,1
four,1,11,1,1
four,1,11,1,1
four,1,11,1,1
four,1,11,1,1
four,1,11,1,1
four,1,11,1,1
four,1,11,1,1
four,1,11,1,1
four,1,11,1,1
four,1,11,1,1
four,1,11,1,1
four,1,11,1,1
five,,3,0,0
five,,5,0,0
five,,5,0,0
five,,5,0,0
five,,5,0,0
five,,5,0,0
five,,5,0,0
five,,7,0,0
five,,7,0,0
five,,7,0,0
five,,7,0,0
five,,7,0,0
five,,7,0,0
five,,10,0,0
five,,10,0,0
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,0,10,1,1
five,1,10,1,1
five,1,10,1,1
five,1,10,1,1
five,1,10,1,1
five,1,10,1,1
five,1,10,1,1
five,1,10,1,1
five,1,10,1,1
five,1,10,1,1
five,1,10,1,1
five,1,10,1,1
five,1,10,1,1
five,1,10,1,1
five,1,10,1,1
five,1,10,1,1
five,1,10,1,1
five,1,10,1,1
five,1,10,1,1
five,1,10,1,1
five,1,10,1,1
five,1,10,1,1
